cid,SMILES
67354554,CN(CC=CCCOc1cc(-c2nc(N3)ncc2)ccc1)Cc1cccc3c1
135423792,ON=C(c(cccc1)c1N1)C1=C(c1cccc(Br)c1N1)C1=O
59757974,CC(C)c1noc(CNc2nc(N3CCN(C)CC3)cc(Nc3n[nH]c(C4CC4)c3)n2)c1
6433206,O=S(/C=C/CCN=C=S)C
56599590,C[C@@H](C1=CC=C(C=C1)F)NC2=CC(=CC(=N2)NC3=NC=CN=C3)C4=CN(N=C4)C.C(=C\C(=O)O)\C(=O)O
89884852,CC1=C(C(=CC=C1)Cl)C(=O)NNC(=O)C2=CC(=C(C=C2)C)C#CC3=CC4=CC=CC=C4N=C3
6918736,COC1=C(C=C(C=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)NCC(=O)O
4553981,S=C(N1N=C(C2=CC=C([N+]([O-])=O)C=C2)C(/N=N/C3=CC=CC(Cl)=C3)=C1O)N
25230468,CC1(C)CCC(=CC1)c1nc(ccc1NC(=O)c1ncc([nH]1)C#N)C1CC(C)(C)OC(C)(C)C1
176406,Cl.CC(C)N(CCC(=O)C1=CC=C2C=CC=CC2=C1)CC1=CC=CC=C1
129073603,COC1(CCC(CC1)C1=NC(C)=CC(NC2=NNC(C)=C2)=N1)C(=O)N[C@@H](C)C1=CN=C(C=C1)N1C=C(F)C=N1
135398503,Oc1[nH]c2ccc(F)cc2c1-c1[nH]c2ccccc2c1N=O
46910592,CS(=O)(=O)O.Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
2063,COc1ccc(C=C(C#N)C#N)cc1
40135492,Cc1cc(CSc2ccccc2C(=O)NCCNc2ccc(C(F)(F)F)cc2[N+](=O)[O-])on1
102004307,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.CC1CN(CC2CCN(Cc3ccccc3)CC2)C(=O)N(C1)c1cccc(c1)C(N)=N
90488983,Cl.CC(C)CNc1ccnc(NCc2csc(n2)-c2ccccc2)n1
135502903,ON=C1C(=O)Nc2c1ccc(Cl)c2Cl
135402990,Cc1[nH]c2ccccc2c1\C=C1/NC(=S)NC1=O
1838043,Oc1ccc(\C=C(/C#N)C(=O)N2CCc3ccccc23)cc1O
6506548,Cc1coc2C\C(C)=C\CC\C(C)=C\C(=O)c12
672296,C1OC2=C(O1)C=C(C=C2)/C=C/[N+](=O)[O-]
137247305,O=C1O[V+](=O)(Oc2c1nccc2)OC(=O)c1ncccc1O.O.O.O.O.[H-]
39065,CC1=CC=CC(OC2=CNC(=O)N=C2)=C1
2175947,C1(C/C(=C\c2cnccc2)/C(=O)/C(=C/c2cnccc2)/C1)CC
71721540,CNc1ncc2cc(c(C)nc2n1)-c1cc(NC(=O)NCCC(C)(C)C)c(F)cc1C
68019246,COc1ccc(cc1OC)\C=C\C(=O)C1(CCCCC1)C(=O)\C=C\c1ccc(OC)c(OC)c1
135567102,CCNC(=O)C#Cc1ccc2c(NC(=O)\C2=C(/Nc2ccc(CN(C)C)cc2)c2ccccc2)c1
135419190,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)\C=C(/C#N)C(N)=S
10436839,[I-].CCCCCCCCCCCCCCCCn1cc[n+](Cc2ccccc2)c1C
135398492,CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(N)=O)c1
11222830,CCC[C@H](NC(=O)C(=C\c1cccc(Br)n1)\C#N)c1ccccc1
16220066,CCO.N\C(Sc1ccccc1N)=C(C#N)/C(C#N)=C(\N)Sc1ccccc1N
6444692,FC(F)(F)c1ccc(\C=C\c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1
68853159,Cc1c(n2ccccc2c1OC)C(=O)c1cc(c(cc1)N)C(=O)[O-].[Na+]
6439072,CC(C)c1cc(cc(c1O)C(C)C)/C=C(\C#N)/C(=O)N
141730164,Cl.CN1C\C=C\CCOc2cccc(c2)-c2ccnc(Nc3cccc(C1)c3)n2
5941539,CC(C)c1cc(cc(C(C)C)c1O)\C=C(/C#N)C(=O)NCCCc1ccccc1
3082127,Oc1ccc(cc1)-c1cc(=S)ss1
5353928,Clc1cc(Cl)cc(\C=C(\C#N)c2cccnc2)c1
5353927,COc1ccc(\C=C(\C#N)c2cccnc2)cc1OC
11233873,CC1=C(C(NC(=O)N1)c1ccc(cc1)F)C(=O)Nc1cc2c(cc1)[nH]nc2
118888941,O=C(c1c(F)ccc(C2C(=C(C)NC(=O)N2)C(=O)Nc2ccc3[nH]ncc3c2)c1)NCc1ncccc1
164676,Cc1coc-2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C
9549284,NC(Sc1ccc(N)cc1)=C(C#N)c1ccccc1C(F)(F)F
2044,CC(C)(C)c1c(c(cc(c1)C=C(C#N)C#N)Br)O
53396311,c1cc(c(cc1Cl)Cl)c1nc(ncc1n1ccnc1)NCCNc1nc(c(cc1)[N+](=O)[O-])N
5614,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C=C(C#N)C#N
9858940,Cc1cccc(n1)c1c(nc([nH]1)C(C)(C)C)c1cc2c(cc1)OCO2
135659062,CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1
448949,O\N=C1c2ccccc2NC/1=C1\C(=O)Nc2cc(Br)ccc12
